code	msg
0x03810000	操作成功
0x03810001	用户未登录
0x03810002	simpool未登录
0x03810003	simpool不在线
0x03810004	用户未分卡
0x03810005	用户余额不足
0x03810006	用户自己操作
0x03810007	无效参数：
0x02810100	包应答超时
0x03810101	包解析错误
0x02810102	socket异常
0x01810103	服务暂不可用
0x01810104	服务忙,稍候重试
0x03810105	服务异常终止
0x02830000	M网用户注册失败
0x03830001	登录密码错误
0x03830002	用户已被禁用
0x03830003	SP已被禁用
0x03830004	用户名不存在
0x03830005	用户修改密码
0x03830006	用户在其它设备登录
0x01830007	协议版本不兼容
0x01830008	软件版本错误
0x03830009	无效的session id
0x0183000a	mac地址错误
0x0183000b	卡池容量错误
0x0183000c	卡池硬件版本错误
0x0183000d	卡池软件版本错误
0x03820000	未绑卡用户无卡可分或换
0x03820001	已绑卡用户无卡可分或换
0x03820002	本地无服务
0x03820003	用户是rtu模式
0x03820004	sim卡余额不足
0x03820005	sim卡已不可用
0x03820006	vip用户抢占
0x01820007	UIM Card 错误 -- 暂未使用
0x01820008	云卡已启动，但不能到进入Ready态超过3分钟
0x01820009	云卡CS注册失败时间超过3分钟
0x0182000a	云卡PS注册失败时间超过3分钟
0x0282000b	镜像不存在
0x03810400	数据初始化
0x03810401	命令已成功下发给客户端
0x03810402	客户端已成功接受命令
0x01810403	参数错误
0x03810404	执行成功
0x03810405	执行失败
0x03810406	软件下载成功
0x03810407	软件下载失败
0x03810408	升级成功
0x03810409	升级失败
0x02810500	短时间连续5次登录失败
0x02810501	短时间连续5次分卡失败
0x02810502	还卡失败
0x02810503	短时间连续5次预授权失败
0x02810504	用户不活跃
0x02810505	用户被禁用
0x02810506	用户被T下线
0x02810507	用户有效期已过
0x02810508	sim卡被禁用
0x02810509	sim卡被损坏
0x0281050a	sim卡异常
0x0281050b	sp被禁用
0x0281050c	sp下线
0x0281050d	终端鉴权失败
0x0281050e	卡鉴权的imsi不匹配
0x0281050f	鉴权操作7f00目录失败
0x02810510	sim卡无鉴权回应
0x02810511	卡池初始化
0x01840201	禁止操作 -- 暂未用到
0x01840202	无此文件或目录 -- 暂未用到
0x01840203	无此进程 -- 暂未用到
0x01840204	系统调用中断 -- 暂未用到
0x01840205	io流异常 -- 暂未用到
0x01840206	无此设备或地址 -- 暂未用到
0x01840207	参数列表太长 -- 暂未用到
0x01840208	Exec格式错误 -- 暂未用到
0x01840209	文件号错误 -- 暂未用到
0x0184020a	没有子进程 -- 暂未用到
0x0184020b	请重试 -- 暂未用到
0x0184020c	内存不足 -- 暂未用到
0x0184020d	没有权限 -- 暂未用到
0x0184020e	错误地址 -- 暂未用到
0x0184020f	阻止必要设备 -- 暂未用到
0x01840210	设备或资源繁忙 -- 暂未用到
0x01840211	文件已存在 -- 暂未用到
0x01840212	跨设备链接 -- 暂未用到
0x01840213	无此设备 -- 暂未用到
0x01840214	不是目录 -- 暂未用到
0x01840215	是目录 -- 暂未用到
0x01840216	无效参数 -- 暂未用到
0x01840217	打开多个文件 -- 暂未用到
0x01840218	文件表溢出 -- 暂未用到
0x01840219	不是打字机 -- 暂未用到
0x0184021a	文本文件繁忙 -- 暂未用到
0x0184021b	文件太大 -- 暂未用到
0x0184021c	设备没有剩余空间 -- 暂未用到
0x0184021d	非法搜索 -- 暂未用到
0x0184021e	文件系统只读 -- 暂未用到
0x0184021f	链路太多 -- 暂未用到
0x01840220	通道已坏 -- 暂未用到
0x01840221	数字参数超出作用域 -- 暂未用到
0x01840222	数字结果无法表示 -- 暂未用到
0x01840223	发生资源死锁 -- 暂未用到
0x01840224	文件名太长 -- 暂未用到
0x01840225	没有可用的记录锁 -- 暂未用到
0x01840226	方法没有被实现 -- 暂未用到
0x01840227	目录不能为空 -- 暂未用到
0x01840228	Too many symbolic links encountered -- 暂未用到
0x01840229	阻止操作 -- 暂未用到
0x0184022a	没有所需类型的消息 -- 暂未用到
0x0184022b	标识符已删除 -- 暂未用到
0x0184022c	通道数超出范围 -- 暂未用到
0x0184022d	Level 2不同步 -- 暂未用到
0x0184022e	Level 3停止 -- 暂未用到
0x0184022f	Level 3重置 -- 暂未用到
0x01840230	链路数超过范围 -- 暂未用到
0x01840231	没有附加协议驱动程序 -- 暂未用到
0x01840232	没有可用的CSI结构 -- 暂未用到
0x01840233	Level 2停止 -- 暂未用到
0x01840234	无效替换 -- 暂未用到
0x01840235	无效的请求描述 -- 暂未用到
0x01840236	完全替换 -- 暂未用到
0x01840237	没有阳极 -- 暂未用到
0x01840238	无效请求码 -- 暂未用到
0x01840239	无效的插槽 -- 暂未用到
0x0184023a	资源死锁将发生58 -- 暂未用到
0x0184023b	字体文件格式错误 -- 暂未用到
0x0184023c	设备不是流 -- 暂未用到
0x0184023d	没有可用数据 -- 暂未用到
0x0184023e	计时器已过期 -- 暂未用到
0x0184023f	流资源超出 -- 暂未用到
0x01840240	机器未联网 -- 暂未用到
